---
# Velocity gradient along pathline with the following settings:
#   nsteps: 3116
#   ictrl:  7
#   eqincr: 0.02
#   temp:   298

schema:
  delimiter: ' '
  missing: '-'
  fields:
    - name: step
      type: integer
    - name: L11
      type: float
    - name: L12
      type: float
    - name: L13
      type: float
    - name: L21
      type: float
    - name: L22
      type: float
    - name: L23
      type: float
    - name: L31
      type: float
    - name: L32
      type: float
    - name: L33
      type: float
    - name: tincr
      type: float
---
step L11 L12 L13 L21 L22 L23 L31 L32 L33 tincr
1844 0.0005700278084824216 0.0003916853072095623 0.0005183315321779772 0.0003305641614331367 -0.0005473620245689072 -0.00028795305780726936 -0.0016721019498894412 -0.0006353654584949867 -0.00012935716204141365 -2.5
1845 0.0005706879765086587 0.00039185173978990726 0.0005185721067912756 0.0003267026465367912 -0.0005489900554721599 -0.00028849880115819283 -0.001672198982560668 -0.0006359164980235541 -0.00012926855810466056 -2.5
1846 0.000571291978723194 0.00039200056078533596 0.0005188019448640691 0.0003229493765164458 -0.0005505092830223862 -0.00028893138199686825 -0.0016724078776802417 -0.0006365549523579464 -0.00012922056796184407 -2.5
1847 0.0005718395365785653 0.0003921469901549825 0.0005190372576617925 0.000319185026478275 -0.0005520850084582852 -0.0002893826337955416 -0.0016725758795937515 -0.0006372001190726527 -0.0001290178432387532 -2.5
1848 0.0005723271643811916 0.0003922698489493904 0.0005192515137415196 0.0003152889562859085 -0.0005536190611705689 -0.0002896536882966561 -0.0016727716161023176 -0.0006378121291490245 -0.00012889067440285452 -2.5
1849 0.0005727624645577122 0.00039238130176612643 0.0005194636200907215 0.0003113444588949865 -0.0005552272857147759 -0.0002901544016257989 -0.0016729831964188977 -0.0006383812936342505 -0.00012875530834391942 -2.5
1850 0.0005731391155533788 0.00039249024711531725 0.0005196797665159804 0.0003076215347507303 -0.0005568604282704501 -0.00029052939941304716 -0.0016731945889353372 -0.0006389423325475792 -0.00012870516527115002 -2.5
1851 0.0005734586815535009 0.0003925796739368644 0.0005198861078625222 0.00030377408784130013 -0.0005584552801590661 -0.00029095363718780544 -0.0016734611210470697 -0.0006394952615414963 -0.00012856483789266013 -2.5
1852 0.000573721662141129 0.0003926442427795275 0.0005200924243310866 0.0002997706520316136 -0.0005598540949929467 -0.0002914226389857909 -0.0016736965278129296 -0.0006401313771856086 -0.00012851834114365626 -2.5
1853 0.0005739261229818665 0.00039277955681765465 0.0005202929832792584 0.0002960134755984292 -0.0005616674017544249 -0.00029187784192760956 -0.0016743274687308946 -0.0006410719397587751 -0.0001271961970053263 -2.5
1854 0.0005666912811005237 0.0004677609401443447 0.00047501866113577976 0.0002875721933751027 -0.0005344832838670171 -0.00030996386860127745 -0.001675362299093553 -0.0006300961094008939 -0.00013504202283302666 -2.5
1855 0.0005689176533096196 0.0004681973594105257 0.0004754122779371151 0.0002823218653406674 -0.0005364162994180986 -0.0003105727060731639 -0.0016753875713492225 -0.000630761781080185 -0.0001347937073725382 -2.5
1856 0.0005711122845110153 0.0004686326810894015 0.0004757920581340811 0.00027715037283281414 -0.0005379388036705382 -0.0003111605405081423 -0.0016754382832027005 -0.0006312672270893722 -0.00013459093945624454 -2.5
1857 0.000573274510821114 0.0004690634824489278 0.0004761714306547602 0.0002719031892781604 -0.0005397972576727108 -0.000311699819529285 -0.0016753762227367439 -0.0006321811558421607 -0.00013448392213939324 -2.5
1858 0.0005754064476456082 0.00046948926814974646 0.000476550533979283 0.0002666554651388899 -0.0005414859726259364 -0.00031232746298300105 -0.0016753963446871209 -0.0006325593077735682 -0.00013432713015902514 -2.5
1859 0.0005775071308841875 0.00046990882085606227 0.00047692866015507335 0.00026134694662426257 -0.0005433220698216187 -0.00031315303531195897 -0.0016754377181397119 -0.0006332531381536298 -0.00013388612064994712 -2.5
